time,ax,ay,az,atotal
0.015299081802368164,-0.4,0.07,-0.42,0.58
0.017394065856933594,-0.16,-0.02,-0.39,0.42
0.025419950485229492,0.09,-0.04,-0.25,0.26
0.035446882247924805,0.21,-0.06,-0.01,0.21
0.04575514793395996,0.2,-0.12,0.24,0.33
0.05521893501281738,0.09,-0.2,0.45,0.5
0.06571316719055176,0.03,-0.18,0.56,0.58
0.0758059024810791,0.05,-0.14,0.51,0.53
0.08566904067993164,0.07,-0.12,0.36,0.38
0.09572196006774902,0.1,-0.11,0.16,0.21
0.10513806343078613,0.12,-0.11,-0.03,0.16
0.11571192741394043,0.17,-0.06,-0.1,0.2
0.12541604042053223,0.16,0.02,-0.14,0.21
0.13553309440612793,0.07,0.04,-0.17,0.18
0.14545893669128418,0.05,0.01,-0.21,0.21
0.1557939052581787,0.07,-0.02,-0.27,0.27
0.16577887535095215,0.09,-0.04,-0.28,0.29
0.17547202110290527,0.14,-0.06,-0.18,0.23
0.18542098999023438,0.16,-0.1,-0.03,0.19
0.19584298133850098,0.18,-0.1,0.14,0.24
0.20554900169372559,0.15,-0.08,0.31,0.35
0.2156689167022705,0.09,-0.07,0.39,0.4
0.22551703453063965,0.06,-0.06,0.34,0.35
0.23553919792175293,0.0,-0.07,0.23,0.24
0.2454369068145752,-0.03,-0.04,0.06,0.07
0.2557950019836426,-0.05,-0.04,-0.14,0.15
0.26587891578674316,-0.07,-0.03,-0.36,0.36
0.27548813819885254,-0.08,0.01,-0.47,0.47
0.2859480381011963,-0.09,0.03,-0.57,0.57
0.2957479953765869,-0.1,0.05,-0.57,0.58
0.30553507804870605,-0.08,0.07,-0.43,0.44
0.31594395637512207,-0.03,0.05,-0.31,0.31
0.3255331516265869,-0.01,0.03,-0.13,0.13
0.33566999435424805,0.01,0.04,0.07,0.08
0.34610605239868164,-0.03,0.06,0.21,0.22
0.3558919429779053,-0.03,0.02,0.18,0.18
0.3658781051635742,-0.02,-0.01,0.12,0.12
0.3773529529571533,-0.05,-0.05,0.07,0.09
0.3859431743621826,0.0,-0.05,0.02,0.05
0.3960890769958496,0.04,-0.03,-0.04,0.06
0.40605807304382324,0.0,-0.02,-0.09,0.09
0.41624903678894043,-0.05,-0.03,-0.09,0.1
0.4259979724884033,0.03,0.01,0.04,0.05
0.43588805198669434,0.07,0.05,0.11,0.13
0.4462459087371826,0.13,0.05,0.08,0.16
0.45610594749450684,0.13,0.03,0.16,0.2
0.4661400318145752,0.09,-0.03,0.29,0.3
0.47808289527893066,0.03,-0.06,0.3,0.3
0.48607897758483887,0.0,-0.05,0.26,0.26
0.496082067489624,-0.06,-0.12,0.31,0.33
0.5063660144805908,-0.07,-0.09,0.29,0.31
0.5162301063537598,-0.08,-0.04,0.23,0.24
0.5263049602508545,-0.15,0.04,0.19,0.24
0.5363209247589111,-0.19,0.08,0.18,0.27
0.5462601184844971,-0.22,0.09,0.27,0.35
0.5563740730285645,-0.2,0.08,0.26,0.33
0.5666501522064209,-0.18,0.0,0.15,0.23
0.5757691860198975,-0.14,-0.01,0.04,0.14
0.5860700607299805,0.0,0.04,-0.01,0.04
0.5959761142730713,0.0,0.11,-0.09,0.14
0.6062860488891602,0.05,0.07,-0.09,0.12
0.6160099506378174,-0.05,-0.04,-0.08,0.1
0.6262290477752686,-0.1,-0.07,-0.11,0.16
0.6363790035247803,-0.09,0.0,-0.13,0.15
0.6462490558624268,-0.01,0.0,-0.08,0.08
0.6562860012054443,0.04,-0.07,-0.09,0.12
0.6663320064544678,0.12,-0.18,-0.12,0.24
0.6766800880432129,0.28,-0.19,-0.13,0.36
0.6861269474029541,0.37,-0.17,-0.02,0.4
0.6962270736694336,0.36,-0.23,0.03,0.42
0.7063090801239014,0.33,-0.23,-0.05,0.4
0.7163360118865967,0.32,-0.17,-0.1,0.37
0.7263410091400146,0.32,-0.01,-0.15,0.35
0.7364850044250488,0.19,0.05,-0.03,0.19
0.7462451457977295,0.07,0.04,0.04,0.09
0.7563819885253906,-0.02,-0.02,0.14,0.14
0.7665269374847412,0.0,-0.09,0.22,0.23
0.7781519889831543,0.07,-0.11,0.23,0.26
0.7860920429229736,0.15,-0.06,0.16,0.22
0.7962591648101807,0.23,-0.07,0.08,0.25
0.8064329624176025,0.38,-0.09,0.06,0.39
0.8165581226348877,0.36,-0.13,0.0,0.38
0.8263649940490723,0.33,-0.09,-0.11,0.35
0.8368260860443115,0.18,-0.01,-0.13,0.22
0.8464949131011963,-0.03,0.01,-0.1,0.1
0.8564720153808594,-0.08,-0.01,-0.11,0.13
0.8666410446166992,0.03,0.05,-0.21,0.21
0.876906156539917,0.09,0.05,-0.06,0.11
0.8863298892974854,0.02,-0.04,0.05,0.06
0.8963680267333984,0.04,-0.03,0.0,0.05
0.9065101146697998,0.01,0.02,-0.03,0.03
0.9164860248565674,0.02,0.06,-0.08,0.1
0.9264860153198242,0.03,0.11,-0.16,0.19
0.9366700649261475,0.06,0.09,-0.25,0.27
0.9464471340179443,0.04,0.02,-0.28,0.28
0.9565789699554443,0.02,-0.06,-0.28,0.28
0.9713809490203857,0.09,-0.06,-0.19,0.21
0.9793241024017334,0.13,-0.02,-0.15,0.19
0.9861750602722168,0.07,0.02,-0.14,0.15
0.9962670803070068,0.02,0.05,-0.05,0.07
1.0067689418792725,0.05,0.04,-0.01,0.06
1.0164949893951416,0.04,0.02,-0.02,0.04
1.0266480445861816,0.06,-0.03,0.1,0.12
1.0365140438079834,0.14,-0.06,0.28,0.31
1.0464110374450684,0.17,-0.04,0.39,0.42
1.0566880702972412,0.15,-0.02,0.36,0.39
1.0665960311889648,0.08,0.01,0.21,0.22
1.0777111053466797,0.02,0.0,0.14,0.14
1.0863440036773682,0.02,-0.03,0.03,0.04
1.096560001373291,0.03,0.0,-0.12,0.12
1.1063239574432373,0.02,0.06,-0.29,0.29
1.1165659427642822,0.02,0.1,-0.32,0.33
1.1265451908111572,0.01,0.15,-0.32,0.35
