time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004810,0.0717,0.0073,-0.0041,0.072
0.005495,0.1182,-0.0615,0.0380,0.139
0.005909,0.1218,-0.0633,0.1131,0.178
0.006285,0.0778,-0.0080,0.0759,0.109
0.015850,0.0272,-0.0056,0.0438,0.052
0.016525,0.0578,-0.0578,0.0785,0.113
0.021234,0.0644,-0.0454,0.0963,0.124
0.025730,0.0450,-0.0213,0.0759,0.091
0.030518,0.0567,0.0121,0.0534,0.079
0.035516,0.0492,-0.0094,0.0169,0.053
0.040421,0.0633,-0.0498,0.0187,0.083
0.045469,0.0916,-0.0684,-0.0102,0.115
0.050536,0.0745,-0.0275,0.0182,0.081
0.055945,0.1073,-0.0297,0.1151,0.160
0.061464,0.1352,-0.0367,0.1281,0.190
0.068984,0.1106,-0.0412,0.1457,0.188
0.071376,0.0816,-0.0101,0.1205,0.146
0.075859,0.1098,-0.0386,0.1241,0.170
0.081310,0.0831,-0.0289,0.0634,0.109
0.085964,0.0023,-0.0193,0.0177,0.026
0.090981,0.0076,0.0092,-0.0370,0.039
0.102070,-0.0064,0.0066,-0.0534,0.054
0.102881,-0.0439,-0.0173,-0.0720,0.086
0.106395,-0.0478,-0.0244,-0.0619,0.082
0.111271,-0.0397,-0.0196,-0.0972,0.107
0.126432,-0.0554,-0.0101,-0.1370,0.148
0.127066,-0.0330,-0.0078,-0.1316,0.136
0.127475,-0.0204,-0.0387,-0.0644,0.078
0.131493,-0.0364,-0.0314,0.0046,0.048
0.136465,-0.0071,-0.0075,0.0635,0.064
0.141190,-0.0230,0.0399,0.0485,0.067
0.146611,-0.0626,0.0703,0.0168,0.096
0.151308,-0.0901,0.0363,0.0213,0.099
0.156541,-0.1054,0.0501,0.0022,0.117
0.162296,-0.0709,0.0354,-0.0501,0.094
0.166903,0.0177,0.0350,-0.0093,0.040
0.171759,0.0557,-0.0176,0.0786,0.098
0.177076,0.0838,-0.0293,0.0541,0.104
0.181597,0.0690,-0.0196,0.0396,0.082
0.186983,0.0592,0.0232,0.0178,0.066
0.192105,0.0448,-0.0246,-0.0086,0.052
0.197738,0.0734,-0.0530,-0.0016,0.091
0.202557,0.0805,-0.0385,0.0479,0.101
0.207704,0.0829,-0.0454,0.0873,0.129
0.212257,0.0949,-0.0453,0.0647,0.123
0.224054,0.0900,0.0191,0.0755,0.119
0.224796,0.0355,-0.0003,0.0770,0.085
0.228395,-0.0281,-0.0100,0.0265,0.040
0.232368,-0.1363,0.0634,-0.0355,0.154
0.237159,-0.2627,0.1340,-0.1155,0.317
0.249149,-0.2743,0.1470,-0.2138,0.378
0.249685,-0.2719,0.1172,-0.2640,0.397
0.253733,-0.3126,0.1210,-0.2330,0.408
0.257172,-0.2913,0.1557,-0.1691,0.371
0.261999,-0.2015,0.0596,-0.1011,0.233
0.266987,0.0038,-0.0239,-0.0480,0.054
0.272759,0.1433,-0.0591,-0.0310,0.158
0.277326,0.2009,-0.0846,0.0712,0.229
0.286308,0.2749,-0.1290,0.1678,0.347
0.288197,0.2036,-0.0970,0.1712,0.283
0.293060,0.1021,-0.0320,0.0701,0.128
0.298161,0.0468,-0.0176,0.0291,0.058
0.303503,-0.0009,-0.0246,-0.0044,0.025
0.313061,-0.0341,-0.0125,0.0478,0.060
0.313593,0.0187,-0.0077,-0.0051,0.021
0.317457,-0.0240,-0.0077,-0.0147,0.029
0.322780,-0.0164,0.0018,-0.0194,0.025
0.328304,-0.0279,-0.0031,-0.0360,0.046
0.332460,-0.0109,0.0421,-0.0285,0.052
0.337692,0.0060,-0.0153,-0.0474,0.050
0.342725,0.0109,-0.0485,0.0099,0.051
0.347735,0.0346,0.0041,0.0524,0.063
0.352774,-0.0298,0.0516,0.0638,0.087
0.358041,-0.0556,0.0298,0.0657,0.091
0.363543,-0.0219,0.0153,0.1081,0.111
0.367857,0.0068,-0.0015,0.1074,0.108
0.374250,0.0732,0.0104,0.0783,0.108
0.378409,0.1414,-0.0134,0.0756,0.161
0.383872,0.1047,-0.0585,0.0706,0.139
0.389172,0.1278,-0.0581,0.0823,0.163
0.393471,0.0746,-0.0125,0.0748,0.106
0.398744,0.0076,-0.0029,0.0485,0.049
0.403481,0.0150,-0.0268,0.0177,0.035
0.409356,0.0128,-0.0171,-0.0247,0.033
0.413238,-0.0344,0.0257,-0.1072,0.115
0.420864,-0.0362,0.0111,-0.1037,0.110
0.423510,-0.0381,-0.0009,-0.0954,0.103
0.428272,-0.0328,0.0133,-0.1253,0.130
0.433412,-0.0276,0.0012,-0.1408,0.143
0.439194,-0.0794,0.0297,-0.1204,0.147
0.443476,-0.1071,0.0222,-0.1573,0.192
0.448838,-0.0965,0.0196,-0.1180,0.154
0.453508,-0.0410,0.0028,-0.0292,0.050
0.458816,0.0283,-0.0305,0.0017,0.042
0.463831,0.0376,-0.0540,0.0276,0.071
0.468640,0.0375,-0.0203,0.0508,0.066
0.476768,-0.0147,-0.0250,0.0074,0.030
0.479702,-0.0215,-0.0106,0.0429,0.049
0.484153,-0.0044,0.0251,0.0636,0.069
0.489721,-0.0302,0.0509,0.0058,0.059
0.496728,-0.0322,0.0362,-0.0253,0.055
0.499407,-0.0840,0.0263,-0.0062,0.088
0.505112,-0.0879,0.0403,-0.0703,0.120
0.516289,-0.1037,0.0495,-0.1029,0.154
0.522607,-0.1290,0.0728,-0.1258,0.194
0.526836,-0.1042,0.0342,-0.1176,0.161
0.537732,-0.0298,0.0031,-0.0217,0.037
0.538471,0.1152,-0.0159,0.0187,0.118
0.538830,0.1521,-0.0656,0.0538,0.174
0.539163,0.0747,-0.0389,0.1054,0.135
0.544209,0.0005,0.0089,0.0973,0.098
0.549114,-0.0043,-0.0102,0.0610,0.062
0.554261,-0.0468,0.0303,-0.0107,0.057
0.559586,-0.1533,0.0775,-0.1030,0.200
0.564349,-0.1734,0.0103,-0.1446,0.226
0.570032,-0.0985,0.0103,-0.1457,0.176
0.574336,-0.0054,-0.0396,-0.0805,0.090
0.580223,0.1107,-0.0843,0.0672,0.155
0.584478,0.1904,-0.0622,0.2184,0.296
0.589429,0.1531,-0.0426,0.2663,0.310
0.598085,0.1329,-0.0446,0.2616,0.297
0.600408,0.1083,0.0174,0.1311,0.171
0.605748,0.0957,-0.0493,0.1230,0.163
0.609828,0.1855,-0.1060,0.1579,0.266
0.615669,0.1062,0.0539,-0.0047,0.119
0.621033,-0.1246,0.1364,-0.0351,0.188
0.624886,0.0145,-0.0834,0.0106,0.085
0.637295,0.0884,0.0265,0.0181,0.094
0.638014,-0.0875,0.0689,0.0280,0.115
0.640241,-0.1292,-0.0197,0.0141,0.131
0.645064,-0.0517,0.0041,-0.0210,0.056
0.650733,0.0727,-0.0317,-0.0438,0.091
0.656235,0.1722,-0.1123,-0.0381,0.209
0.660173,0.1619,-0.1448,0.0697,0.228
0.664917,0.1020,-0.0987,0.2122,0.255
0.670222,0.0451,-0.0388,0.2587,0.265
0.675478,0.0625,-0.0364,0.2245,0.236
0.680186,0.1439,-0.0388,0.0908,0.175
0.685095,0.2820,-0.0556,0.0031,0.287
0.690041,0.2267,-0.0461,0.0322,0.234
0.698980,0.0652,0.0345,0.1133,0.135
0.700871,-0.0404,0.1264,0.1129,0.174
0.707833,-0.0004,0.0963,-0.0822,0.127
0.711682,-0.0985,0.0143,-0.0924,0.136
0.715720,0.0106,-0.0100,-0.2096,0.210
0.720794,-0.0497,-0.0127,-0.1954,0.202
0.726280,-0.1384,0.0892,-0.2004,0.259
0.731895,-0.1075,0.0977,-0.2197,0.263
0.736309,-0.1886,0.0253,-0.1988,0.275
0.749267,-0.1791,0.0629,-0.1448,0.239
0.750195,-0.1367,0.0836,-0.0723,0.176
0.751230,-0.1162,0.0614,-0.0385,0.137
0.755525,-0.1292,0.0513,0.0140,0.140
0.761553,-0.0662,-0.0157,-0.0715,0.099
0.765973,-0.0013,-0.0156,-0.1706,0.171
0.770863,0.0202,-0.0345,-0.2669,0.270
0.776715,0.0014,-0.0984,-0.1797,0.205
0.780976,-0.0244,-0.0359,-0.0814,0.092
0.786117,-0.0620,0.0498,-0.1100,0.136
0.790715,-0.0991,0.0089,-0.0721,0.123
0.795836,-0.0032,0.1181,-0.1631,0.201
0.800841,0.2417,-0.1632,-0.1447,0.326
0.808783,0.3019,-0.2046,0.0726,0.372
0.817912,0.0697,0.0178,0.2835,0.293
0.824681,-0.2769,0.0175,0.4127,0.497
0.832829,-0.1293,0.1170,0.1473,0.228
0.833952,0.0430,0.0519,-0.3319,0.339
0.834389,-0.1803,0.0086,-0.4230,0.460
0.836819,-0.2048,0.0513,-0.4191,0.469
0.850334,0.0035,-0.0227,-0.3614,0.362
0.851178,0.1150,-0.0984,-0.1715,0.229
0.851562,0.1213,-0.0192,-0.0070,0.123
0.856299,-0.0125,0.0190,0.2349,0.236
0.861454,-0.0621,0.0354,0.1971,0.210
0.866285,-0.0612,0.0802,0.0698,0.123
0.872535,-0.1271,0.0701,0.0532,0.155
0.876784,-0.0953,0.0791,0.1177,0.171
0.881666,-0.0164,0.0405,0.1437,0.150
0.887119,-0.0640,0.0379,0.2244,0.236
0.891836,-0.1136,0.0923,0.3855,0.412
0.896743,-0.0301,0.0988,0.3014,0.319
0.901901,0.0908,-0.0136,0.1758,0.198
0.909623,0.1584,-0.0489,-0.1031,0.195
0.912368,0.1424,-0.0484,-0.1261,0.196
0.917531,0.1315,-0.0147,-0.1140,0.175
0.921513,0.2039,-0.0715,-0.3400,0.403
0.926719,0.0955,-0.0685,-0.2205,0.250
0.931880,0.0807,-0.0632,-0.2642,0.283
0.937074,0.0021,-0.0461,-0.1986,0.204
0.941999,-0.1351,0.0088,0.0039,0.135
0.946985,-0.0979,0.0277,0.0245,0.105
0.961097,-0.0543,0.0299,0.0572,0.084
0.961814,-0.0065,-0.0249,0.1707,0.173
0.962144,0.0292,-0.0698,0.1219,0.143
0.967046,-0.0113,0.0021,0.2019,0.202
0.972808,0.0031,0.0045,0.3172,0.317
0.977689,0.0007,-0.0407,0.2016,0.206
0.982298,0.0102,-0.0023,-0.0526,0.054
0.987227,-0.0039,0.0286,-0.2887,0.290
0.992669,0.0581,-0.0453,-0.5665,0.571
0.997300,-0.1200,-0.1638,-0.3392,0.395
1.002765,-0.1731,-0.0199,-0.3226,0.367
1.007242,0.1538,0.0017,-0.0520,0.162
1.012932,-0.7215,0.2511,1.2787,1.489
1.021040,-0.9441,0.5770,1.1520,1.597
1.023454,0.3735,0.0428,-0.3495,0.513
1.028911,0.4787,-0.3564,-0.6666,0.895
1.032631,0.0442,-0.0421,-0.1872,0.197
1.037433,0.5584,-0.0747,0.1834,0.592
1.043166,0.7104,-0.3329,0.3851,0.874
1.047886,0.0852,-0.0809,0.1441,0.186
1.054487,-0.4539,0.2948,0.0934,0.549
1.057952,-0.4121,0.3280,0.1669,0.552
1.071167,0.1585,-0.0072,-0.2330,0.282
1.071828,-0.0805,-0.2304,0.0705,0.254
1.072740,-0.5174,0.3869,0.4721,0.800
1.077965,0.0867,0.1060,0.1656,0.215
1.083586,0.4389,-0.3959,-0.3045,0.665
1.088631,0.2522,-0.1502,-0.3727,0.474
1.093301,-0.0587,0.0411,0.0268,0.077
1.098914,0.1364,-0.0020,0.2137,0.253
1.102834,0.1447,-0.0233,0.1735,0.227
1.108525,0.0177,0.0196,0.1339,0.136
1.113082,-0.1320,0.1406,0.0665,0.204
1.118922,-0.3353,0.1632,0.0282,0.374
1.123043,-0.4211,0.1691,0.1708,0.485
1.130768,-0.4262,0.2275,0.2298,0.535
1.133566,0.4209,-0.1350,0.1276,0.460
1.139332,0.8869,-0.5613,-0.8676,1.362
1.143221,-0.7667,0.1561,0.1946,0.806
1.148521,-2.0641,0.8751,0.5412,2.306
1.153389,-0.8623,0.3513,-0.3660,1.000
1.158503,1.0725,-0.5670,-0.5375,1.327
1.164662,1.1381,-0.5517,-0.2169,1.283
1.168509,0.6396,-0.2948,0.1550,0.721
1.186958,0.2123,-0.2444,0.5288,0.620
1.187700,1.3138,-0.1660,0.7225,1.508
1.188219,2.9697,-0.4810,0.3239,3.026
1.188590,0.2172,-0.8731,-1.0634,1.393
1.194751,-6.0937,2.0196,0.4941,6.439
1.198677,-2.4082,1.8108,-0.8426,3.129
1.203452,-0.2288,-0.7293,-3.2535,3.342
1.208792,-0.2155,-1.1485,-4.0543,4.219
1.213584,-0.9686,-0.0522,-2.5316,2.711
1.219106,-1.0260,0.1922,0.2668,1.077
1.224292,-0.2080,-0.0105,4.2172,4.222
1.229014,-0.1663,0.2582,2.2732,2.294
1.233707,0.5881,-0.0955,-0.9274,1.102
1.241751,0.3041,-0.2694,0.4533,0.609
1.243865,0.3463,-0.2949,2.2864,2.331
1.249055,1.1270,-0.1943,2.6354,2.873
1.253741,1.0276,0.2087,1.4136,1.760
1.259499,0.2591,0.2538,0.2033,0.416
1.264288,-0.6559,0.1670,-0.1177,0.687
1.269106,-1.5204,0.2361,-0.0774,1.541
1.275651,-1.4494,0.0740,0.0749,1.453
1.278909,-0.2852,-0.0296,0.0380,0.289
1.284277,2.3776,-0.2527,0.4754,2.438
1.288847,11.1884,-1.3948,-0.7913,11.303
1.294322,2.6234,-2.3474,0.7491,3.599
1.299198,-7.2382,0.5821,2.0394,7.542
1.304243,-4.5303,3.0142,-1.8730,5.755
1.309174,0.3882,0.9833,-3.0848,3.261
1.314284,0.8166,-1.3757,-0.2354,1.617
