time,ax,ay,az,atotal
0.015609979629516602,0.05,1.28,-2.4,2.72
0.016983985900878906,-0.49,1.27,-2.33,2.69
0.01824188232421875,-1.23,1.35,-1.88,2.62
0.019455909729003906,-1.8,1.45,-1.0,2.51
0.020987987518310547,-1.91,1.51,0.38,2.46
0.04281497001647949,-1.6,1.59,1.75,2.85
0.06659984588623047,-1.05,1.63,2.77,3.38
0.09340691566467285,-0.46,1.59,3.4,3.78
0.11756610870361328,0.0,1.49,3.57,3.86
0.11878299713134766,0.35,1.46,3.54,3.84
0.12023210525512695,0.78,1.53,3.4,3.8
0.12155389785766602,1.22,1.49,3.08,3.63
0.14728593826293945,1.67,1.15,2.79,3.44
0.14937305450439453,2.19,0.59,3.11,3.84
0.15140485763549805,2.55,0.05,3.87,4.63
0.15365886688232422,2.66,-0.38,4.74,5.44
0.155195951461792,2.44,-0.8,4.83,5.47
0.18272900581359863,1.92,-1.2,4.24,4.8
0.18424606323242188,1.44,-1.39,3.44,3.97
0.18550395965576172,1.22,-1.48,2.32,3.01
0.1867198944091797,1.18,-1.54,0.85,2.11
0.18791913986206055,1.25,-1.43,-0.58,1.98
0.2129378318786621,1.43,-1.22,-1.87,2.65
0.21444201469421387,1.4,-1.09,-2.52,3.08
0.21577692031860352,1.18,-0.96,-2.55,2.96
0.21720314025878906,0.75,-0.89,-2.16,2.45
0.21842098236083984,0.38,-0.85,-1.84,2.06
0.24672412872314453,0.14,-0.89,-1.81,2.02
0.24819493293762207,-0.03,-0.88,-1.88,2.07
0.24950098991394043,0.11,-0.73,-2.08,2.2
0.2509589195251465,0.69,-0.49,-1.66,1.86
0.2522389888763428,1.43,-0.16,-1.42,2.02
0.2534489631652832,1.59,0.21,-1.12,1.95
0.2546520233154297,1.03,0.53,-0.42,1.23
0.2769439220428467,0.41,0.89,0.49,1.09
0.2783629894256592,-0.26,1.12,1.29,1.72
0.27986812591552734,-0.79,1.02,1.69,2.12
0.28526902198791504,-1.23,0.72,1.78,2.28
0.2865447998046875,-1.47,0.58,1.44,2.13
0.28773999214172363,-1.36,0.58,0.73,1.64
0.3103470802307129,-0.95,0.71,-0.04,1.18
0.3400540351867676,-0.37,0.96,-0.42,1.11
0.3418619632720947,0.08,1.08,-0.43,1.16
0.3432350158691406,0.27,1.07,0.02,1.1
0.3444709777832031,0.46,1.03,0.57,1.26
0.3456459045410156,0.59,0.92,0.82,1.36
0.34686803817749023,0.71,0.76,0.63,1.21
0.35234785079956055,0.87,0.45,0.07,0.98
0.3536109924316406,1.03,0.06,-0.62,1.2
0.35481882095336914,1.14,-0.31,-1.15,1.64
0.37761902809143066,1.22,-0.53,-1.48,1.98
0.37899112701416016,1.64,-0.18,-1.65,2.33
0.38025498390197754,2.42,0.68,-1.41,2.88
0.38153505325317383,1.95,0.6,-1.11,2.32
0.38274502754211426,0.95,0.16,-0.9,1.31
0.3839259147644043,-0.19,-0.89,-0.42,1.0
0.3851330280303955,-0.24,-1.22,-1.24,1.75
0.4110579490661621,-0.36,-0.99,-0.3,1.09
0.43719482421875,-0.8,-0.63,0.41,1.09
0.4383730888366699,-0.97,-0.63,0.8,1.4
0.46317005157470703,-1.06,-1.0,0.73,1.62
0.464601993560791,-1.3,-1.01,0.96,1.9
0.46582794189453125,-1.84,-0.47,1.38,2.34
0.4670281410217285,-2.5,0.08,1.95,3.17
0.4682149887084961,-2.82,0.34,2.39,3.71
