time,ax,ay,az,atotal
0.014380931854248047,0.08,-0.03,0.74,0.74
0.01564788818359375,-0.11,-0.14,0.72,0.74
0.02576589584350586,-0.27,-0.2,0.64,0.72
0.03139305114746094,-0.45,-0.17,0.51,0.7
0.04156208038330078,-0.65,-0.12,0.31,0.73
0.04316306114196777,-0.79,-0.03,0.11,0.79
0.04447507858276367,-0.94,0.02,0.0,0.94
0.04566192626953125,-1.05,0.02,-0.48,1.15
0.04685807228088379,-0.97,0.12,-0.74,1.22
0.04804706573486328,-0.78,0.19,-0.93,1.22
0.057627201080322266,-0.62,0.17,-1.03,1.21
0.05916118621826172,-0.53,0.14,-1.08,1.21
0.06046295166015625,-0.47,0.16,-1.1,1.2
0.06525993347167969,-0.49,0.2,-1.07,1.19
0.07528114318847656,-0.57,0.31,-1.12,1.29
0.07659602165222168,-0.65,0.41,-1.14,1.37
0.07782506942749023,-0.73,0.47,-1.15,1.44
0.07904505729675293,-0.79,0.49,-1.09,1.43
0.08017492294311523,-0.79,0.48,-1.06,1.4
0.08124494552612305,-0.75,0.44,-1.01,1.33
0.0909271240234375,-0.71,0.46,-0.94,1.26
0.09234189987182617,-0.71,0.52,-0.78,1.17
0.09350299835205078,-0.78,0.63,-0.66,1.2
0.0986170768737793,-0.87,0.73,-0.5,1.24
0.10841798782348633,-0.97,0.8,-0.35,1.3
0.1098790168762207,-1.0,0.81,-0.15,1.29
0.11124610900878906,-0.94,0.79,0.02,1.22
0.11259102821350098,-0.91,0.75,0.15,1.18
0.11382293701171875,-0.78,0.75,0.17,1.09
0.11500215530395508,-0.51,0.8,0.08,0.95
0.12538814544677734,-0.16,0.88,-0.05,0.89
0.12804198265075684,0.09,0.91,-0.16,0.92
0.13020086288452148,0.1,0.89,-0.09,0.9
0.14937305450439453,-0.06,0.94,0.22,0.96
0.15999317169189453,-0.47,0.89,-0.03,1.0
0.1612720489501953,-0.62,1.07,-0.29,1.27
0.1625509262084961,0.75,2.38,-0.28,2.51
0.16380596160888672,0.72,1.53,-0.15,1.69
0.16525602340698242,-0.03,0.37,-0.46,0.59
0.17521190643310547,-0.86,-0.66,-1.04,1.5
0.17671608924865723,-1.42,-0.71,-1.02,1.88
0.17798304557800293,-1.73,-0.07,-0.35,1.76
0.17920398712158203,-1.78,0.66,0.38,1.93
0.19313406944274902,-1.61,1.18,0.83,2.16
0.19485187530517578,-1.08,1.64,0.94,2.17
0.19638919830322266,-0.38,1.98,0.93,2.22
0.19770097732543945,0.06,1.94,0.72,2.07
0.198930025100708,0.36,1.61,0.27,1.67
0.20926618576049805,0.54,1.02,0.03,1.15
0.2105700969696045,0.73,0.49,0.6,1.06
0.21175408363342285,1.2,0.38,1.65,2.07
0.21296000480651855,1.86,0.69,2.49,3.18
0.21428918838500977,2.03,0.9,3.16,3.86
0.2289440631866455,1.97,0.55,3.52,4.07
0.23036599159240723,1.52,-0.01,3.22,3.56
0.23162007331848145,0.9,-0.46,2.6,2.78
0.24213790893554688,-0.06,-1.11,1.6,1.94
0.24367618560791016,-1.19,-2.04,0.78,2.48
0.24518799781799316,-2.05,-2.79,0.21,3.46
0.2464900016784668,-2.0,-2.75,-0.12,3.4
0.24770498275756836,-1.57,-2.65,-0.31,3.09
0.2489759922027588,-1.23,-2.94,-0.4,3.21
0.2595481872558594,-0.07,-2.5,-0.3,2.51
0.2650790214538574,1.54,-1.43,-0.04,2.1
0.2758650779724121,2.12,-1.08,0.05,2.37
0.2773761749267578,1.94,-1.2,0.12,2.28
0.2786130905151367,1.32,-1.38,0.24,1.92
0.2798490524291992,0.71,-1.37,0.45,1.6
0.28107213973999023,0.35,-1.47,0.44,1.57
0.2822599411010742,0.18,-1.46,0.23,1.48
0.2928040027618408,0.42,-1.04,0.37,1.18
0.29437804222106934,0.97,-0.48,0.58,1.22
0.2957301139831543,1.23,-0.33,0.45,1.35
0.31055402755737305,0.87,-0.29,0.22,0.94
0.3119540214538574,0.62,-0.14,0.15,0.65
0.3131709098815918,0.42,-0.22,-0.06,0.47
0.31442904472351074,-0.06,-0.34,-0.76,0.83
0.3247342109680176,-0.38,-0.26,-1.32,1.39
0.326585054397583,-0.17,0.08,-1.72,1.73
0.32791805267333984,0.05,0.35,-2.14,2.16
0.3291139602661133,0.11,0.39,-1.93,1.97
0.33031702041625977,-0.23,0.17,-1.26,1.29
0.33152198791503906,-0.9,-0.23,-0.53,1.06
0.3455829620361328,-1.39,-0.46,-0.17,1.47
0.34696507453918457,-1.07,-0.74,-0.28,1.33
0.3481910228729248,-0.51,-0.62,-0.07,0.8
0.35787296295166016,0.01,-0.37,0.05,0.37
0.3592040538787842,0.23,-0.35,0.25,0.48
0.36043787002563477,0.49,-0.47,0.6,0.9
0.36163902282714844,0.84,-0.56,0.88,1.33
0.36283206939697266,0.93,-0.54,0.89,1.39
0.36402201652526855,0.73,-0.69,0.76,1.25
0.36524009704589844,0.59,-0.43,0.41,0.83
0.3788120746612549,0.41,-0.23,0.09,0.47
0.3800530433654785,0.26,-0.1,-0.08,0.28
0.3812379837036133,-0.25,0.17,-0.43,0.52
0.39139890670776367,-0.41,-0.02,-0.96,1.04
0.3929719924926758,-0.41,0.13,-1.16,1.23
0.3941159248352051,-0.34,0.24,-0.89,0.98
0.39534711837768555,-0.32,0.04,-0.32,0.45
0.3967781066894531,-0.01,-0.02,0.43,0.43
0.39803409576416016,0.36,0.0,0.81,0.88
0.40837812423706055,0.89,0.08,0.61,1.08
0.413769006729126,1.3,0.1,0.07,1.3
0.4151730537414551,1.35,0.26,-0.27,1.4
0.42515993118286133,1.31,0.46,-0.61,1.51
0.42661499977111816,1.01,0.31,-0.97,1.43
0.42789793014526367,0.66,0.33,-1.09,1.31
0.4291660785675049,0.49,0.48,-0.93,1.15
0.43042802810668945,0.23,0.3,-0.2,0.42
